AppliedSchool,Degree,Major,Result,Year,EnglishLevel,TOEFL,IELTS,GRE,School,SchoolMajor,GPA,PostSchool,PostMajor,PostGPA,Other_Info
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2016,3,104,,323,211 & 985,土木工程,84,,,,一次国奖，两次校奖。三篇论文（一篇sic两篇ei），两个专利，还有一些国创，结构设计大赛，篮球省联赛冠军等奖项。
德克萨斯大学奥斯汀分校,博士,Human Development and Family Science,被拒,2017,2,96,,333,,心理学,84,,,,sci 一作一篇，台湾、美国交换科研经历，医院实习一段，海外志愿者、学校奖学金等。
德克萨斯大学奥斯汀分校,硕士,Landscape Architecture,被拒,2016,1,85,,303,211,园林,84,,,,无论文、无牛推、无实习
德克萨斯大学奥斯汀分校,硕士,Asian Studies,被拒,2015,3,107,,323,清华/北大/中科大,政治（政经哲）,84,,,,Writing Sample是本科生科研项目的论文改的，三封推荐信都是本校的老师，一个政治学方面，一个经济学方面，还有一个是政经哲项目的主管老师。
德克萨斯大学奥斯汀分校,博士,Economics and Econometrics,被拒,2015,3,109,,327,清华/北大/中科大,资源环境与城乡规划,84,,,,一个国家期刊，一个本科生科研，实习在CASS
德克萨斯大学奥斯汀分校,博士,Materials Engineering,被拒,2015,4,111,,319,国外高校（含港澳台）,系统科学与工程,84.5,国外高校（含港澳台）,Engineering and System Science,92,"1 article on Acta Materialia, 1 conference paper, 4 conference presentations"
德克萨斯大学奥斯汀分校,硕士,Materials Engineering,被拒,2016,2,,6.5,315,211 & 985,材料化学,84.5,,,,一篇共同一作SCI（IF＝2.99），两篇三作SCI（IF＝6.5），n篇四作SCI
德克萨斯大学奥斯汀分校,硕士,Sports Management,被拒,2016,2,95,,307,双非,体育市场营销,84.9,,,,没什么其他活动。学渣一枚
德克萨斯大学奥斯汀分校,博士,Chemistry,被拒,2016,3,100,,321,双非,材料科学与工程,85,双非,化学,88,一作SCI一篇
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2015,2,92,,308,211 & 985,建筑学,85,,,,"推荐信是，一封本校的老师的 一封去台湾交流时候老师的 一封大四参加城市设计workshop时候日本老师的
没得过什么像样的奖……"
德克萨斯大学奥斯汀分校,博士,Bioengineering and Biomedical Engineering,被拒,2016,0,,,329,双非,微生物工程,85.6,,生物工程,90,国内普通学校本科，美国普通学校硕士，申请时发表 SCI 一作 5篇。
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2015,3,103,,319,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,建筑,86,,,,路人一个，没有任何实习，四年制工学学位，推荐信找的都是院里的副教授=。=
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2015,2,95,,317,双非,建筑学,86,,,,"两次竞赛没有获奖，推荐信很普通，系主任，实习单位院长，任课老师
校内奖学金吧...没有了..."
德克萨斯大学奥斯汀分校,硕士,Computer Science,被拒,2015,1,86,,0,211,计算机科学,86.46,,,,GRE TOEFL 没啥亮点，两年相关工作领域经验。
德克萨斯大学奥斯汀分校,硕士,Mechanical Engineering,被拒,2016,3,102,,322,211 & 985,能源与环境系统工程,86.48,,,,3亿彩票开奖，没中
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2016,2,97,,314,211,城市规划,86.5,,,,一个月的事务所实习，奖学金四次，企业奖学金一次，城乡规划专业指导委员会作业竞赛获奖两次。
德克萨斯大学奥斯汀分校,博士,Economics and Econometrics,被拒,2015,2,96,,317,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济,87,,,,硬件各种渣，其他背景定位贴里有，不会删的。
德克萨斯大学奥斯汀分校,博士,Petroleum Engineering,被拒,2015,4,,8,325,双非,石油工程,87.5,,Petroleum Engineering,88,一篇水的会议论文。
德克萨斯大学奥斯汀分校,硕士,Advertising,被拒,2016,3,108,,318,211 & 985,广告学,87.6,,,,申请这五所学校时三段实习经历，大一暑假一段家乡本地的小广告公司，大二暑假在省级卫视地面频道的广告部，大三下在一家4A做了3个多月的ae intern。拿过2次国励，其他奖学金七七八八加起来大概一共8个？毕业论文是校级优秀和省级优秀（省级没用上，毕业后过了大半年才评出来给我）。G是我的大毛病，第三次考G，V有了155但是Q大跳水，最后USC录了估计是因为他家可以拼G的分，拼起来我有323了。。。ORZ
德克萨斯大学奥斯汀分校,博士,Economics and Econometrics,被拒,2016,2,95,,315,双非,数理经济学,87.8,,,,"也就是些校内的数学建模奖、三好学生奖、课堂上的一些作业等等...
不过课程里面有 高级宏观经济学(97),高级微观经济学(97),泛函分析(97),实变函数(96)...
虽然教得&考得都挺浅的..."
德克萨斯大学奥斯汀分校,硕士,Communication,被拒,2016,3,109,,323,双非,翻译,88,,,,
德克萨斯大学奥斯汀分校,博士,Computational Science and Engineering,被拒,2017,4,,7.5,322,211 & 985,飞行器动力工程,88,,,,
德克萨斯大学奥斯汀分校,博士,Chemical Engineering,被拒,2015,3,105,,318,211,高分子材料与工程,88,,,,一篇ACS的二作，一个高分子全国竞赛一等奖。两个校内教授推荐信，一个中科院导师的推荐信。本以为中科院导师是哈佛phd&postdoc;出来的，可以推荐到哈佛，结果自己还是太naive。
德克萨斯大学奥斯汀分校,博士,Materials Engineering,被拒,2015,3,105,,318,211,高分子材料与工程,88,,,,一篇ACS的二作，一个高分子全国竞赛一等奖。两个校内教授推荐信，一个中科院导师的推荐信。本以为中科院导师是哈佛phd&postdoc;出来的，可以推荐到哈佛，结果自己还是太naive。
德克萨斯大学奥斯汀分校,博士,Materials Engineering,被拒,2015,3,102,,319,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学,88,,,,一篇二作，一张ACSposter。佛罗里达是要求口语23的，所以我另外还寄了一个总分小于100（s23）的托福。申请像个黑匣子，木有人知道大梦校的committee们都在想些神马（对于我这种仅仅嘴上喊着要陶瓷却是行动的矮子来说更加如此。。。）。愿所有人都梦想成真！
德克萨斯大学奥斯汀分校,硕士,Mechanical Engineering,被拒,2016,2,96,,319,211,机械工程与自动化,88,,,,"无paper，大三跟着导师做过一个项目。国奖，校奖等。参加过挑战杯全国赛，三奖。熟练很多专业软件，Solidworks,CAD等等。爱好比较广泛，编程什么的也不在话下。"
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2017,2,97,,314,双非,建筑学,88,,,,
德克萨斯大学奥斯汀分校,硕士,Health Outcomes and Pharmacy Practice,被拒,2017,3,104,,336,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物科技,88,,,,"加拿大交换学生(Health Science)8个月
本土药企市场营校实习半年
农科院暑期计画两个月
修过药物经济学
推荐信找实习老闆、原科系教授跟药物经济学教授"
德克萨斯大学奥斯汀分校,博士,Chemical Engineering,被拒,2016,4,110,,330,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,食品工程,88,,food science,90,"一篇一作（领域内的top杂志，7分左右），2篇二作（4分左右），2篇一作in preparation。
美国的老板在领域内还是有点小名气，所以推荐信应该不错。"
德克萨斯大学奥斯汀分校,博士,Pharmaceutical Sciences,被拒,2016,3,107,,332,清华/北大/中科大,药学,88,,,,有两篇非一作论文，其中一篇是review
德克萨斯大学奥斯汀分校,硕士,Electrical and Electronics Engineering,被拒,2016,3,105,,320,211 & 985,电气工程及其自动化,88.94,,,,
德克萨斯大学奥斯汀分校,博士,Chemical Engineering,被拒,2017,3,108,,324,清华/北大/中科大,材料科学与工程,89,,,,Umich 暑研，推荐信
德克萨斯大学奥斯汀分校,博士,Chemical Engineering,被拒,2017,3,103,,329,清华/北大/中科大,化学工程,89,,,,明大的暑研，一篇二作paper在投
德克萨斯大学奥斯汀分校,博士,Chemistry,被拒,2016,4,,8,327,,化學（2+2）,90,,,,前兩年在211&985，後兩年在香港。無paper，獎學金若干，推薦信來自老闆，同方向的教授和系主任。
德克萨斯大学奥斯汀分校,博士,Chemical Engineering,被拒,2016,3,104,,326,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,化学工程与工艺,91,,,,
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2015,1,87,,310,双非,建筑学,84.22,,,,
德克萨斯大学奥斯汀分校,硕士,Petroleum Engineering,被拒,2016,1,100,5.5,320,双非,石油工程,84.22,双非,,,
德克萨斯大学奥斯汀分校,硕士,Advertising,被拒,2016,3,106,,318,211,英语,85.15,,,,一段半年+的公关公司实习，有一些PR和integrated marketing的经验，收获了很多实战经验。学渣没有奖学金。。。在学校参加了一个社团和一个自主创业项目，有两个public service。
德克萨斯大学奥斯汀分校,硕士,Mathematics,被拒,2015,3,103,,321,,,84,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,,,
德克萨斯大学奥斯汀分校,硕士,Architecture,被拒,2017,2,92,,0,双非,,84.22,,,,
德克萨斯大学达拉斯分校,博士,Molecular Biology,被拒,2015,1,83,,309,211,生物工程,84,,,,2篇论文在投，SRT一次
德克萨斯大学西南医学中心,博士,Neuroscience,被拒,2017,3,108,,321,,药学,84,,药理学,85,1篇s?ci
德克萨斯大学西南医学中心,博士,Biochemistry and Molecular Biology,被拒,2015,3,101,7,318,211 & 985,生物科学,88,,,,
德克萨斯理工大学,硕士,Bioengineering and Biomedical Engineering,被拒,2015,1,83,,309,211,生物工程,84,,,,2篇论文在投，SRT一次
德克萨斯农工大学,博士,Mechanical Engineering,被拒,2016,2,96,,322,211 & 985,机械工程,77,双非,机械工程,86,研究生国内中文渣渣期刊两篇。14年毕业工作，从事机械设计（与之前的研究以及申请的方向均无关。
德克萨斯农工大学,硕士,Petroleum Engineering,被拒,2015,3,103,,316,双非,电气工程及其自动化,78.1,,,,
德克萨斯农工大学,硕士,Landscape Architecture,被拒,2015,2,90,,312,211,Ornamental Horticulture,80.66,,,,
德克萨斯农工大学,硕士,Mechanical Engineering,被拒,2016,2,99,,324,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,材料成型及控制工程,81,,,,
德克萨斯农工大学,博士,Biomedical Engineering,被拒,2016,2,91,,312,清华/北大/中科大,生物科学,81,清华/北大/中科大,生物学,84,一篇一作SCI在投，一篇y一作SCI和一篇共一作SCI即将完稿，一篇一作中文核心在投，一篇一作中文review在投
德克萨斯农工大学,硕士,Bioengineering and Biomedical Engineering,被拒,2015,2,93,,304,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,制药工程,82,,,,有俩国际金牌，一个亚洲金牌，国内三等奖，省内校内奖若干，一专利
德克萨斯农工大学,硕士,Landscape Architecture,被拒,2015,3,103,,311,双非,城市规划（五年制）,83.6,,,,"无竞赛、牛所实习经历。推荐信找的比较熟悉的专业课老师（1位景观背景讲师、1位规划背景教授、1位规划背景副教授）
upenn、osu为wl转正，uga为2年项目，其他均为3年，均无奖。此外还收到了hku的面试"
德克萨斯农工大学,博士,Geography,被拒,2016,3,105,,316,211 & 985,地理信息系统,84,,,88,若干项目，RA，PI一个
德克萨斯农工大学,博士,Materials Engineering,被拒,2015,3,102,,318,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,材料化学（很偏物理）,84,,,,水科研，无论文，渣文书。
德克萨斯农工大学,硕士,Chemical Engineering,被拒,2016,3,102,,318,211 & 985,化工,84,,,,无论文，无牛推。一年半实验室经历，港大暑期科研实习。
德克萨斯农工大学,硕士,Materials Science,被拒,2016,3,100,,325,211 & 985,金属材料,84,,,,无牛推，SCI三作，专利三作。几个水项目，奖学金
德克萨斯农工大学,硕士,Animal Sciences,被拒,2015,1,83,,309,211,生物工程,84,,,,2篇论文在投，SRT一次
德克萨斯农工大学,硕士,Bioengineering and Biomedical Engineering,被拒,2016,3,108,,328,211 & 985,生物医学工程,84,,,,"SCI一篇n作,专利一项,两段科研经历(省级+校级大创项目)"
德克萨斯农工大学,硕士,Food Science,被拒,2015,3,100,,319,211 & 985,食品科学与工程,84,,,,一篇中文核心2作
德克萨斯农工大学,硕士,Agricultural Economics,被拒,2015,2,93,,319,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,园艺,84,,,,
德克萨斯农工大学,硕士,Sports Management,被拒,2016,2,95,,307,双非,体育市场营销,84.9,,,,没什么其他活动。学渣一枚
德克萨斯农工大学,博士,Materials Engineering,被拒,2016,3,100,,321,双非,材料科学与工程,85,双非,化学,88,一作SCI一篇
德克萨斯农工大学,硕士,Mechanical Engineering,被拒,2017,2,96,,321,211,机械工程,85,,,,国家级机器人大赛一等奖
德克萨斯农工大学,硕士,Computer Science,被拒,2016,3,108,,325,211,计算机科学与技术,85,,,,国内期刊论文一篇，无竞赛，本校教授推荐信。
德克萨斯农工大学,博士,Statistics,被拒,2015,3,108,,326,211,信息与计算科学,86.4,,,,无牛推无论文无实习[...QAQ]
德克萨斯农工大学,硕士,Geography,被拒,2015,2,,6.5,311,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,地理信息系统,87,,,,全国核心期刊一作一篇，无牛推（两个南大教授，虽然一个在遥感界也算小有名气，但估计老美不知道，一个是我们院长，另个直接是我本科专业课老师），三个科研项目（一个是负责人，一个是跟着院长混的...还有一个挺水），活动就是亚青会为服务主管，奖学金拿过两次
德克萨斯农工大学,博士,Petroleum Engineering,被拒,2015,4,,8,325,双非,石油工程,87.5,,Petroleum Engineering,88,一篇水的会议论文。
德克萨斯农工大学,硕士,Electrical and Electronics Engineering,被拒,2017,3,104,,322,双非,飞行器动力工程,88,,,,无论文，无牛推，国奖等奖学金拿过一些，国家级竞赛二等奖一个，TA一年半，实验室经历1年半。
德克萨斯农工大学,博士,Chemical Engineering,被拒,2015,0,,,310,双非,生物技术,88,国外高校（含港澳台）,Chemical Engineering,84,无论文，无牛腿。
德克萨斯农工大学,硕士,Materials Engineering,被拒,2016,2,93,,316,双非,英语,88,,,,无科研背景；2封专业课老师推荐信 1封老板；专业相关实习；专科在校获得国家励志奖学金
德克萨斯农工大学,硕士,Petroleum Engineering,被拒,2016,1,88,,325,双非,油气储运工程,88,,,,没有论文，没有实验室经历，没有实习经历。拿过校内的小奖学金。背景惨不忍睹。
德克萨斯农工大学,硕士,Petroleum Engineering,被拒,2016,3,102,,325,211,油气储运工程,88.23,,,,有一点石油工程相关的水科研，感觉申请的时候还是派上用场的。
德克萨斯农工大学,硕士,Materials Engineering,被拒,2015,2,93,,319,211 & 985,材料科学与工程,90,211 & 985,,,"无文章
无牛推
校级奖学金
校级优秀学生"
德克萨斯农工大学,硕士,Electrical and Electronics Engineering,被拒,2017,3,101,,325,211 & 985,应用物理学,91,,,,"台湾交通大学一学期交换, 92.22/100"
德克萨斯农工大学,博士,Biochemistry and Molecular Biology,被拒,2015,1,87,,315,双非,生物科学,92,,,,
德克萨斯农工大学,博士,Materials Engineering,被拒,2015,1,88,,319,双非,MSE,86.31,,,,木有论文，只有两次MCM经历，和一些认为不太重要的奖，三封推荐信(院长(毕业论文导师)，副教授和工作上司)，木牛腿。
德克萨斯农工大学,硕士,Petroleum Engineering,被拒,2016,1,100,5.5,320,双非,石油工程,86.31,双非,,,
德雷塞尔大学,硕士,Computer Science,被拒,2017,0,,,317,国外高校（含港澳台）,Sociology,81,,,,
德雷塞尔大学,硕士,Electrical and Electronics Engineering,被拒,2016,1,89,,307,211,电子信息工程,82,,,,
德雷塞尔大学,硕士,Accounting,被拒,2015,1,87,,0,双非,会计,84,,,,发表过2篇水论文，有过一个超过一年的实习，和两个2个月的实习，组织过班里参加校园辩论大赛得了第一名（虽然活动很小，但是感受很深），参加过河北省财务分析大赛，得了优秀奖（这个活动让我对专业的认识也比较深）
德雷塞尔大学,博士,Physics,被拒,2016,3,100,,320,211 & 985,物理,85,,,,四段科研经历，两次与申请专业相关；一篇一作SCI待发；专利一项，小奖若干；一篇副院长推荐信；三围低，没有有用的套辞。
帝国理工学院,硕士,Chemical Engineering,被拒,2016,3,,7,0,,化学工程与工艺,81,,,,ENACTUS（全球三大学生组织）中国赛区二等奖，1份学术研究项目，无牛推无实习。
帝国理工学院,硕士,Computer Software Engineering,被拒,2016,2,97,,0,211 & 985,软件工程,81,,,,俩实习，一个在学校机构一个在SAP，无奖学金无交换无论文
帝国理工学院,硕士,Communication and Signal Processing,被拒,2016,2,,6.5,0,,telecommunication,83,,,,我有个校级奖学金，两个外企实习，教授推荐信，但觉的这些对于申请没太大用，均分高+语言+运气吧
帝国理工学院,硕士,Environmental Engineering,被拒,2016,3,,7,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,环境科学,83,,,,水实验，基本可忽略。。
帝国理工学院,硕士,Mathematics with Finance,被拒,2016,0,,,318,国外高校（含港澳台）,"Mathematics, Economics",84,,,,
帝国理工学院,硕士,Advanced Computing,被拒,2014,3,,7,0,211 & 985,电子信息科学,84,,,,国家973项目子课题负责人之一，研究生团队唯一本科生；无牛推无论文无实习（“三无”人员）； 一次优秀学生奖学金一次荣誉奖学金，两三个学科竞赛获奖。
帝国理工学院,硕士,Communication and Signal Processing,被拒,2014,3,,7,0,211 & 985,电子信息科学,84,,,,国家973项目子课题负责人之一，研究生团队唯一本科生；无牛推无论文无实习（“三无”人员）； 一次优秀学生奖学金一次荣誉奖学金，两三个学科竞赛获奖。
帝国理工学院,硕士,Science Communication,被拒,2017,0,,,0,211 & 985,计算机科学,84,,,,三年校园媒体，三份小媒体实习，两份很水。nus暑校。三年奖学金，一堆没用的优秀学生称号什么的。一些商赛，挑战杯，互联网＋。还有一些项目，大创啊什么的，不过都是和计算机相关的。
帝国理工学院,硕士,Communication and Signal Processing,被拒,2017,3,,7,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,通信工程,84,,,,"一个水水的大创和各种学校的实习（写做了很多研究工作）
两个社团主席、组织活动
一个水水的全国优秀奖、市第二名"
帝国理工学院,硕士,Management,被拒,2016,3,,7,0,211 & 985,信息管理与信息系统（工学） + 应用心理学（二学位）,84,,,,IEEE论文二作一篇
帝国理工学院,硕士,Analogue and Digital Integrated Circuit Design,被拒,2016,3,101,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,测控技术与仪器,85,,,,一次暑假交流，一个国家比赛一等奖，几个奖学金，无牛推，无项目
帝国理工学院,硕士,Computer Science,被拒,2017,2,,6.5,0,211,软件工程,85.6,,,,"学生经历多（并没有卵用）
计算机小奖3个
美赛H水奖
5次一等奖学金
各种三好"
帝国理工学院,硕士,Management,被拒,2017,3,,7,0,211 & 985,工程管理,85.7,,,,
帝国理工学院,硕士,Computing Science,被拒,2016,3,,7,0,211 & 985,信息工程,86,,,,数模美赛M奖(一等奖) 一些校级科研项目和竞赛 无论文
帝国理工学院,硕士,Analogue and Digital Integrated Circuit Design,被拒,2016,4,,7.5,0,211 & 985,自动化,86.7,,,,国家级竞赛*2，省级竞赛*1，学校创新项目，水实习。
帝国理工学院,硕士,Finance,被拒,2015,4,110,,329,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,金融学,87,,,,实习还满多，其他没什么了
帝国理工学院,硕士,Business Analytics,被拒,2016,4,,7.5,0,双非,经济学,88,,,,
帝国理工学院,硕士,Mathematical Finance,被拒,2016,0,,,0,国外高校（含港澳台）,数学,88,,,,
帝国理工学院,硕士,Accounting and Finance,被拒,2017,2,,6.5,0,211,会计,89,,,,
帝国理工学院,硕士,Finance,被拒,2015,3,,7,318,国外高校（含港澳台）,经济学,90,,,,国家奖学金，国际会议publication，20余国内奖项，英国中国高校相关职务，相关实习科研经历
帝国理工学院,硕士,Mechanical engineering,被拒,2016,3,101,,319,211 & 985,热能与动力工程,90.23,,,,水科研，水论文2篇，水专利，无牛推
帝国理工学院,硕士,Communication and Signal Processing,被拒,2017,3,,7,322,双非,电子信息工程,91,,,,若干奖学金，没有参加过什么竞赛，主持过一个省重点的大创，发了一篇SCI
蒂宾根大学,硕士,Neuroscience,被拒,2017,2,97,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物科学,86,,,,海外交换学习一年，水论文一篇
蒂尔堡大学,硕士,Finance,被拒,2015,3,,7,0,双非,会计,89.55,,,,水实习若干。一心想欧洲PHD。
丁伯根研究所,硕士,Economics,被拒,2015,3,,7,324,211,数学与经济学双学位,90.44,,,,无牛推
东北大学,硕士,Computer and Information Systems Security,被拒,2016,3,100,,323,211 & 985,计算机科学,82,,,,奖学金若干，假期实习若干，2个教授和单位主管的推荐信。学校压分，GPA尴尬。
东北大学,硕士,Public Administration,被拒,2017,2,92,,0,211,工商管理,82,211,产业经济学,,读书时期有国际数学建模竞赛、国家数模竞赛的奖，发过一篇水paper，实习经历若干。毕业后在公益咨询领域工作了4年，目前职位是项目经理。
东北大学,硕士,Computer Science,被拒,2016,2,93,,316,211,地理信息系统,83,,,,"若干次奖学金
大三一次院项目
大四一次校外实习
优秀毕业论文
5年码农经验."
东北大学,硕士,Public Administration,被拒,2015,1,86,,315,211 & 985,国际政治,84,,,,n个学校活动，一个校级的项目，毕论为优秀论文，所以直接翻译做了essay。大型国企实习，自己做了小型商业项目。TAMU有面试。
东北大学,博士,Chemistry,被拒,2016,2,95,,316,211 & 985,应用化学,85,,,,
东北大学,博士,Biology and Biological Science,被拒,2016,3,103,,322,清华/北大/中科大,,85,清华/北大/中科大,免疫,,有一个比较牛的推荐信，但是也不是强推
东京大学,硕士,Urban Planning,被拒,2017,0,,,315,国外高校（含港澳台）,Urban Studies (Minor in Urban and Region,84,,,,"其他条件
1. 专业GPA 3.61；后两年GPA3.71。
2. 18个月Undergraduate Student Researcher经历（UCI Metropolitan Future Initiaves）。
3. 9个月Community Development相关NPO实习 + 5月在UCI本科科研报告会作相关独立研究展示。
4. 两次不相关的Summer School经历，2015在LSE，2016在早稻田的英文Summer Session。
5. 因为这边教授不一定愿意给太多学校交推荐信，这次在UCI拿了6封推荐。分别是UCI MURP Director、设计教授、研究Boss、两位理论教授、还有一位作文老师。
6. 没有Publication。这边PhD很多，但本科在做research的Urban Studies学生很少，我几乎是MFI唯一的本科成员（现在又多了一位）。这段时间一直思考过会不会有相关机会，最后也没有找到，不知道其他美本同学状况如何。我觉得这算是一大遗憾也是今后注意的重点。

依然Pending的项目
1. UPenn MCP - 申请表格有低级语法错误+ Video Interview放弃治疗式回答 + 没投给我最强推的Director教授的信。发了五六批ad都没我，觉得希望不大。
2. UCLA MURP- 这次申请里Planetizen排名最高的项目，Grad Cafe上录取的人数据也特别吓人。申请是投了，结果如何不想太多，也是平常心状态。
3. NYU MUP - 比较偏政策的一个项目，第一批ddl特别早本想放弃，结果还是强行提交了。申请的文件和别的项目很不一样，弄下来也有些累。最近都快忘了这里了。
4. Cambridge PGR/MAUS - 因为申请了LSE和UCL，就干脆把可以申请的剑桥的项目也报了。希望多大不太清楚，加上两个都是一年项目，依然保持平常心。"
东京大学,硕士,Architecture,被拒,2015,3,108,,330,,建筑学,84,,,,
东京大学,硕士,Global Society,被拒,2016,3,108,,322,211 & 985,行政管理,88,,,,"无论文，其中一封推荐信的老师和意属的研究生导师有过学术合作，有半年交换经历，有日语N2但是这个应该不影响

更新：收到GSP拒信。也许是研究计划写的不对GSP的胃口的原因？给以后申请者的建议就是GSP和ITASIA的计划最好写不同的两篇，贴着某个教授的方向写。"
东京工业大学,硕士,Computer Science,被拒,2016,2,93,,0,211 & 985,测控技术与仪器,88.3,,,,无论文，系主任推+副院长推，省电赛二等奖，实验室暑期实习，国励
都灵理工大学,硕士,Complex Systems,被拒,2016,0,,6,0,211 & 985,化学,84.15,,,,"校化学实验竞赛一等奖，奖学金二等和单项各一次。大三开始进国重室做项目，方向是化学计量学，算国内很强的组，毕业论文优秀拿了95，只是文章没有发。
本科毕业后，国内某知名第三方检测工作两年，觉得没什么动力后，去年进入中科院化学类某所做生物高分子，去之前跟老板告知以后可能出国的想法。老板人极好，表示欢迎过来学习，自己科研上的很多想法老板都给予支持和鼓励，现在自己做的是组里之前没人做的新方向，可能短期不会出成果。"
都灵理工大学,硕士,Mechanical Engineering,被拒,2015,2,,6.5,0,211 & 985,机械设计制造及其自动化,84.7,,,,
杜克大学,博士,Developmental Psychology,被拒,2016,2,96,,315,双非,预防医学,77,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,生物工程,81,论文若干（申请时尚无一作发表），包括sci和核心；4年研究经历；国外领域牛推一封，国内院士一封
杜克大学,硕士,Applied Economics,被拒,2015,0,,,324,国外高校（含港澳台）,经济学,81,,,,"推荐信：学院Associate Prof 和 Assistant Prof+人民银行实习时的厅级领导
实习经历：人民银行和某证券公司
无科研，被拒不足惜"
杜克大学,博士,Economic Scoiology,被拒,2015,2,99,,320,211,经济学,81,211,economics,84,两篇一作，一篇sci在投。算是还可以的牛实习。
杜克大学,硕士,Electrical and Electronics Engineering,被拒,2015,3,105,,324,211 & 985,光电信息工程,81,,,,3篇水论文 中国电科水实习经历  水推荐
杜克大学,硕士,General Law,被拒,2017,3,103,,0,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,法学,83,,,,
杜克大学,硕士,Economics,被拒,2017,3,108,,324,双非,经济学,84,,,,
杜克大学,硕士,Statistics,被拒,2016,3,101,,319,国外高校（含港澳台）,Statistics,84,,,,
杜克大学,硕士,Law,被拒,2015,3,101,,0,211 & 985,法学,84,,,,水论文两篇，水实习三个，推荐信三封，其中学校教授两封，实习单位指导老师一封。
杜克大学,硕士,Engineering Management,被拒,2015,3,104,,319,211,工程管理,84,,,,没有论文，推荐信是两个教授+一个实习经理，实习也只有一次造价的实习，有学生会及各类社团工作经验，有特长，总之经历比较水啦...
杜克大学,硕士,Economics and Econometrics,被拒,2015,3,104,,0,211,经济／数学,84,,,,"话说为啥非显示研究生学校
 明明木有。。。一定是浏览器出错了。。。其他项目不报了，报一度比较在乎的两个据信             

WS是计量的 自己做的方向是微观的 很喜欢 只是个人原因几个成绩都并没有非常好 导致申请都是看脸色搞的非常不爽              

女神校是NYU，自己对地方要求比较苛刻。（虽然最后接受了气候条件并不好的学校）但是条件应该是过于不足，NYU悲剧了。顺便吐槽一下hotmail收件，NYU直接被Junk。搞得等了几天认为还有机会。phd向。             

Duke给了WL但是昨天跟小秘咨询，小秘直接给出了希望渺茫的回复。            

还是要感谢@aegeanwu的refer，非常感谢。确实对Duke一度很动心。                 

不过现在觉得当初干嘛这么耗着，UW-Madison项目老实说确实蛮喜欢的，课程方向喜欢，时长以及价格都满意，最近板子上也越来越多讨论。可能还是对Duke名校情结加上对Madison水发的略怀疑吧。支持到最后一刻确实没啥必要。"
杜克大学,硕士,Economics and Econometrics,被拒,2015,3,102,,325,清华/北大/中科大,经济学,84,,,,
杜克大学,硕士,Economics and Econometrics,被拒,2015,3,102,,325,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,经济学,84,,,,Duke是waiting list，comments和writing sample全交了 // 推荐信来自①系主任国内教授，课程+TA，②海龟PhD，课程+RA，③海龟PhD，intensive RA，三封强推 // 主要专业课为高数B，线代，概统，中微，中宏，计量，基本都是B+ // 由于一些个人原因，只是在14年6月考了TG，到10月才开始准备出国，10月到12月使劲儿做RA，期间认识并要到了后两封推荐信，12.9提交NUS，1.14提交Duke，2.13提交UWM // 除了两所美国学校的10页writing sample外无paper，半年之内RA*4 // 之前我说我Duke wl是发邮件问的，凌晨正式收到的邮件 // 绩点和数学课是无！法！弥！补！的！硬！伤！啊！
杜克大学,硕士,Economics and Econometrics,被拒,2015,4,111,,327,211 & 985,经济学,84,,,,国务院+慈善基金会+央企三份实习，半年英国交换，无论文发表，美赛二等奖，校一等一次二等一次，市级校级大创各一个
杜克大学,硕士,Economics and Econometrics,被拒,2015,4,111,,327,211 & 985,经济学,84,,,,国务院+慈善基金会+央企三份实习，半年英国交换，无论文发表，美赛二等奖，校一等一次二等一次，市级校级大创各一个，坛子里可以搜到我的定位贴
